instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1500-C,1500.0000,64.7042,,,1.0000,doesnt exist,
ETH-23MAY25-1500-P,1500.0000,64.7042,,,0.8339,doesnt exist,
ETH-23MAY25-2600-P,2600.0000,81.6436,,,1.0000,doesnt exist,
ETH-23MAY25-2600-C,2600.0000,81.6436,,,1.0000,doesnt exist,
ETH-23MAY25-3000-P,3000.0000,105.0903,,,1.0000,doesnt exist,
ETH-23MAY25-3000-C,3000.0000,105.0903,,,1.0000,doesnt exist,
BTC-23MAY25-50000-C,50000.0000,155.3511,,,1.0000,doesnt exist,
BTC-23MAY25-50000-P,50000.0000,155.3511,,,0.5311,doesnt exist,
BTC-23MAY25-200000-C,200000.0000,193.4000,,,1.0000,doesnt exist,
BTC-23MAY25-200000-P,200000.0000,193.4000,,,1.0000,doesnt exist,
