instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1500-C,1500.0000,64.5295,,,1.0000,doesnt exist,
ETH-23MAY25-1500-P,1500.0000,64.5295,,,0.8341,doesnt exist,
ETH-23MAY25-2600-P,2600.0000,81.4532,,,1.0000,doesnt exist,
ETH-23MAY25-2600-C,2600.0000,81.4532,,,1.0000,doesnt exist,
ETH-23MAY25-3000-P,3000.0000,104.5648,,,1.0000,doesnt exist,
ETH-23MAY25-3000-C,3000.0000,104.5648,,,1.0000,doesnt exist,
BTC-23MAY25-50000-C,50000.0000,163.2068,,,1.0000,doesnt exist,
BTC-23MAY25-50000-P,50000.0000,163.2068,,,0.5312,doesnt exist,
BTC-23MAY25-200000-C,200000.0000,193.1600,,,1.0000,doesnt exist,
BTC-23MAY25-200000-P,200000.0000,193.1600,,,1.0000,doesnt exist,
